#Transcript position	Transcript coverage profile
0.0	5.9430562581043755
1.0	7.043014991911736
2.0	6.794020943314957
3.0	6.223913594358288
4.0	6.144758787700888
5.0	5.754177603280541
6.0	5.111477041226517
7.0	5.307514330312448
8.0	5.372262596763209
9.0	4.972860834447191
10.0	4.846039517230448
11.0	5.7713137788574755
12.0	5.304501512244503
13.0	5.574770766716373
14.0	4.699356909859688
15.0	4.8582990509739075
16.0	4.1791275668087575
17.0	4.654531677267646
18.0	3.7472108067671592
19.0	3.3875487082286315
20.0	3.160172974940864
21.0	3.6236863939827373
22.0	4.250392453520132
23.0	3.680932484462175
24.0	2.4666899556222313
25.0	3.5836529335632594
26.0	4.503212593720144
27.0	4.1146082759988305
28.0	3.4134912224082177
29.0	2.9669142498068584
30.0	3.749583496320279
31.0	4.3312898948165275
32.0	4.718425044741085
33.0	5.561925781906861
34.0	6.514922162978369
35.0	6.25032387982022
36.0	4.898120040020051
37.0	2.966181064497889
38.0	2.875265112293953
39.0	3.1791754405042467
40.0	3.9265000000880885
41.0	3.903284517958355
42.0	3.642969517722079
43.0	3.2736984118280152
44.0	2.7949542306956787
45.0	2.780753798978834
46.0	2.665650949044346
47.0	2.6738672122004425
48.0	3.4622861442661903
49.0	3.664651034041836
50.0	5.181719952856499
51.0	5.0422799582527915
52.0	5.577503092159962
53.0	4.489610199322905
54.0	3.8733701058620933
55.0	3.8263587949145017
56.0	3.213038312579984
57.0	2.652156816787694
58.0	2.7375773235731864
59.0	2.7150886206078555
60.0	2.9028046443540263
61.0	2.9492916702069985
62.0	3.2221632610789137
63.0	3.6519040289344553
64.0	3.529417694517856
65.0	3.603166262191037
66.0	3.608150582393956
67.0	3.6933975208333787
68.0	3.502207613272186
69.0	3.6122560039416447
70.0	3.975823644871668
71.0	4.455968779473438
72.0	4.5284862490664
73.0	4.529849507471463
74.0	4.2027260512670805
75.0	4.225498155209678
76.0	3.6508319685572665
77.0	3.7564172480913887
78.0	3.903357591455868
79.0	3.9101671142927796
80.0	4.104509199269765
81.0	4.02609309603603
82.0	4.007536000828843
83.0	3.8454922844179733
84.0	4.005169226713799
85.0	4.5094989606945495
86.0	4.401122077993447
87.0	4.687291632246402
88.0	4.756884943211725
89.0	4.668356054199399
90.0	4.680171589451454
91.0	4.882366581755
92.0	4.832063015791893
93.0	4.6197872724066125
94.0	3.7569904206714226
95.0	3.178593920868612
96.0	2.7432210866118254
97.0	2.084384912997377
98.0	0.5142351561375107
99.0	0.22274977292460638
