#Transcript position	Transcript coverage profile
0.0	5.9430562581043755
1.0	7.043014991911733
2.0	6.7940209433149565
3.0	6.223913594358285
4.0	6.144758787700887
5.0	5.7541776032805405
6.0	5.111477041226517
7.0	5.307514330312448
8.0	5.37226259676321
9.0	4.972860834447191
10.0	4.846039517230448
11.0	5.771313778857476
12.0	5.3045015122445
13.0	5.574770766716373
14.0	4.699356909859687
15.0	4.8582990509739075
16.0	4.179127566808759
17.0	4.654531677267648
18.0	3.747210806767159
19.0	3.387548708228632
20.0	3.1601729749408647
21.0	3.6236863939827373
22.0	4.250392453520133
23.0	3.6809324844621756
24.0	2.4666899556222304
25.0	3.5836529335632594
26.0	4.503212593720145
27.0	4.114608275998831
28.0	3.4134912224082177
29.0	2.966914249806858
30.0	3.7495834963202785
31.0	4.3312898948165275
32.0	4.718425044741084
33.0	5.56192578190686
34.0	6.514922162978369
35.0	6.25032387982022
36.0	4.898120040020049
37.0	2.966181064497889
38.0	2.8752651122939543
39.0	3.179175440504247
40.0	3.926500000088089
41.0	3.903284517958356
42.0	3.642969517722079
43.0	3.2736984118280152
44.0	2.794954230695679
45.0	2.7807537989788353
46.0	2.6656509490443465
47.0	2.673867212200442
48.0	3.462286144266191
49.0	3.6646510340418357
50.0	5.181719952856499
51.0	5.0422799582527915
52.0	5.577503092159962
53.0	4.489610199322904
54.0	3.8733701058620937
55.0	3.826358794914501
56.0	3.213038312579984
57.0	2.652156816787694
58.0	2.737577323573187
59.0	2.715088620607855
60.0	2.9028046443540267
61.0	2.949291670206998
62.0	3.2221632610789146
63.0	3.651904028934455
64.0	3.529417694517856
65.0	3.603166262191037
66.0	3.608150582393957
67.0	3.693397520833379
68.0	3.5022076132721858
69.0	3.6122560039416443
70.0	3.975823644871668
71.0	4.455968779473441
72.0	4.528486249066402
73.0	4.5298495074714635
74.0	4.202726051267079
75.0	4.225498155209677
76.0	3.6508319685572665
77.0	3.7564172480913887
78.0	3.9033575914558676
79.0	3.9101671142927805
80.0	4.1045091992697635
81.0	4.026093096036029
82.0	4.007536000828844
83.0	3.8454922844179737
84.0	4.005169226713799
85.0	4.509498960694549
86.0	4.401122077993446
87.0	4.687291632246403
88.0	4.756884943211725
89.0	4.6683560541994
90.0	4.680171589451456
91.0	4.882366581755
92.0	4.832063015791892
93.0	4.619787272406613
94.0	3.7569904206714235
95.0	3.1785939208686123
96.0	2.7432210866118254
97.0	2.0843849129973773
98.0	0.5142351561375106
99.0	0.22274977292460638
