#Coverage (X)	Coverage
1.0	0.29342222678582175
2.0	0.2037109133717223
3.0	0.1659072605740306
4.0	0.14382345618126635
5.0	0.12475107966024268
6.0	0.11138384836937121
7.0	0.1004355050971526
8.0	0.09172867771653159
9.0	0.08452269141113788
10.0	0.07860508945734068
11.0	0.07365231390906501
12.0	0.06941487430184168
13.0	0.06583819459656581
14.0	0.06320490071001927
15.0	0.06105889288686228
16.0	0.05888169875564131
17.0	0.05694814765611511
18.0	0.0551256977790473
19.0	0.05336756966234191
20.0	0.05184918628881974
21.0	0.05034054863656934
22.0	0.0487909789549974
23.0	0.047442171131535815
24.0	0.04624344741560549
25.0	0.04508760487324537
26.0	0.04395320291767746
27.0	0.042980579935147034
28.0	0.04207617700150479
29.0	0.04122050267419297
30.0	0.0402888117209983
31.0	0.03932008702697942
32.0	0.03836890463124121
33.0	0.03762822981488512
34.0	0.03687001270024837
35.0	0.036218998519558454
36.0	0.03560501807969274
37.0	0.03493841074497084
38.0	0.034345870891897334
39.0	0.03371434815375096
40.0	0.03308867284836481
41.0	0.03240257407111358
42.0	0.03185096624736161
43.0	0.03126232468278545
44.0	0.030693174560752823
45.0	0.03010063470767932
46.0	0.029588009769000223
47.0	0.029139706590683545
48.0	0.02862123421924423
49.0	0.02827818483062572
50.0	0.02788250854715102
51.0	0.02752386600450052
