#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	1.8615040953090097E-4
26.0	9.307520476545049E-4
27.0	0.0020476545048399106
28.0	0.0018615040953090098
29.0	7.446016381236039E-4
30.0	0.0013030528667163067
31.0	0.0014892032762472075
32.0	7.446016381236039E-4
33.0	0.0016753536857781089
34.0	0.0022338049143708115
35.0	0.002792256142963514
36.0	0.004095309009679821
37.0	0.0020476545048399106
38.0	0.007632166790766938
39.0	0.006329113924050632
40.0	0.006329113924050632
41.0	0.0053983618763961275
42.0	0.007446016381236037
43.0	0.010424422933730453
44.0	0.00986597170513775
45.0	0.01731198808637379
46.0	0.018242740134028296
47.0	0.020662695457930008
48.0	0.021407297096053615
49.0	0.022338049143708114
50.0	0.024385703648548026
51.0	0.03332092330603127
52.0	0.039463886820551006
53.0	0.04542069992553984
54.0	0.04914370811615785
55.0	0.045979151154132536
56.0	0.05323901712583768
57.0	0.05230826507818316
58.0	0.04579300074460164
59.0	0.04690990320178704
60.0	0.05212211466865228
61.0	0.039277736411020114
62.0	0.04169769173492181
63.0	0.03499627699180938
64.0	0.047096053611317946
65.0	0.05286671630677587
66.0	0.04113924050632911
67.0	0.028108711839166047
68.0	0.017498138495904692
69.0	0.01135517498138496
70.0	0.0035368577810871177
71.0	0.0022338049143708115
72.0	0.0011169024571854058
73.0	0.0013030528667163069
74.0	3.7230081906180194E-4
75.0	0.0016753536857781086
76.0	1.8615040953090097E-4
77.0	0.0011169024571854058
78.0	0.0014892032762472078
79.0	5.584512285927029E-4
80.0	0.0016753536857781086
81.0	0.0018615040953090098
82.0	0.0013030528667163067
83.0	0.0013030528667163067
84.0	0.0013030528667163067
85.0	0.0011169024571854058
86.0	0.0
87.0	1.8615040953090097E-4
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
