#Read position (bp)	Clipping profile
0.0	25.929211390047012
1.0	13.19968065288743
2.0	9.261066264525859
3.0	7.229663798456489
4.0	4.719240663532334
5.0	3.916437505544221
6.0	3.122505100683048
7.0	2.266477423933292
8.0	1.3616606049853632
9.0	0.9003814423844585
10.0	0.7362725095360596
11.0	0.6386942251397144
12.0	0.3858777610219108
13.0	0.10644903752328573
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.008870753126940478
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.004435376563470239
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.008870753126940478
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.004435376563470239
65.0	0.026612259380821433
66.0	0.03991838907123215
67.0	0.06209527188858334
68.0	0.08427215470593453
69.0	0.279428723498625
70.0	0.3991838907123214
71.0	0.780626275170762
72.0	1.3128714627871907
73.0	1.9027765457287324
74.0	4.927703362015435
75.0	16.38428102545906
