#Coverage (X)	Coverage
1.0	0.282980661019522
2.0	0.21559874417414449
3.0	0.1810755011551919
4.0	0.15470747769310833
5.0	0.13515950997421555
6.0	0.1219365153581009
7.0	0.11068605472658533
8.0	0.10222092123339621
9.0	0.09447697111401965
10.0	0.08910902783972574
11.0	0.0836553222182772
12.0	0.07923856133972151
13.0	0.075628746182133
14.0	0.07192732124462964
15.0	0.0691907227126336
16.0	0.06657107283585617
17.0	0.06407811733555491
18.0	0.062261514891247316
19.0	0.06020516770374229
20.0	0.05840026012495514
21.0	0.05675323323070813
22.0	0.05506137601862804
23.0	0.05352155205831366
24.0	0.05199732125203127
25.0	0.050685547169393885
26.0	0.04964860242650104
27.0	0.048779284089420116
28.0	0.048026914407543586
29.0	0.0470445457037556
30.0	0.04626878629083819
31.0	0.04532150218361153
32.0	0.04450286159712391
33.0	0.04381091538711246
34.0	0.04313651147538167
35.0	0.04255761563207727
36.0	0.04187346599907471
37.0	0.04122050267413613
38.0	0.040559742772174445
39.0	0.0397430513299355
40.0	0.039107630303277574
41.0	0.03852483617146163
42.0	0.037981024924718554
43.0	0.03737873935037328
44.0	0.03692458873929638
45.0	0.0365347598885819
46.0	0.036068914411984565
47.0	0.03562450952217944
48.0	0.03511968116050923
49.0	0.034593412212046815
50.0	0.03402231294575131
51.0	0.033486298276017123
