#Coverage (X)	Coverage
1.0	0.5743367948965812
2.0	0.38119609081188344
3.0	0.2991897446320877
4.0	0.25761059941527265
5.0	0.229301228276654
6.0	0.20892292510573895
7.0	0.1921934199774853
8.0	0.17837788550829714
9.0	0.16800843807938293
10.0	0.15900534077221096
11.0	0.15113274713210956
12.0	0.14386633735486498
13.0	0.13777721070675852
14.0	0.1320233368702617
15.0	0.12687954518513322
16.0	0.12199498968573153
17.0	0.11819220924704155
18.0	0.11456485179117237
19.0	0.11093164690254298
20.0	0.10746411927547683
21.0	0.10437472563359051
22.0	0.10155041561019118
23.0	0.09855653003673126
24.0	0.09575755888862147
25.0	0.09320223077220646
26.0	0.09069952955064764
27.0	0.08825920094520256
28.0	0.0860079393323474
29.0	0.08370015253613872
30.0	0.08158338187678282
31.0	0.07951533982375736
32.0	0.07737517943336059
33.0	0.07526230706250203
34.0	0.07323909532730966
35.0	0.07112232466795376
36.0	0.06910301122127294
37.0	0.06721234129533116
38.0	0.06533141709064694
39.0	0.06364150902281551
40.0	0.06210558335101268
41.0	0.0604644038895259
42.0	0.05919551098045872
43.0	0.05766738188567899
44.0	0.05618408310871814
45.0	0.05480798726570413
46.0	0.053420196557169675
47.0	0.05212986306131029
48.0	0.05100910511551149
49.0	0.0498142796880785
50.0	0.04858242051983552
51.0	0.04747140829530849
