#Read position (bp)	Clipping profile
0.0	24.071821322563377
1.0	14.63675733540947
2.0	9.848669164517542
3.0	7.425429419492968
4.0	5.362269475937911
5.0	4.3355554474234825
6.0	3.5034791494331174
7.0	2.442703518076979
8.0	1.639822879665223
9.0	0.9099313901999904
10.0	0.7298914894652329
11.0	0.5401197022042723
12.0	0.26276093620748386
13.0	0.12651452484064035
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.004865943263101552
30.0	0.004865943263101552
31.0	0.004865943263101552
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.009731886526203104
46.0	0.014597829789304658
47.0	0.004865943263101552
48.0	0.009731886526203104
49.0	0.009731886526203104
50.0	0.009731886526203104
51.0	0.004865943263101552
52.0	0.004865943263101552
53.0	0.0
54.0	0.0
55.0	0.004865943263101552
56.0	0.009731886526203104
57.0	0.019463773052406208
58.0	0.0
59.0	0.004865943263101552
60.0	0.004865943263101552
61.0	0.004865943263101552
62.0	0.0
63.0	0.004865943263101552
64.0	0.004865943263101552
65.0	0.0
66.0	0.019463773052406208
67.0	0.019463773052406208
68.0	0.038927546104812416
69.0	0.17030801420855432
70.0	0.4963262128363583
71.0	0.7785509220962484
72.0	1.5716996739818012
73.0	2.6422071918641428
74.0	5.659092014987106
75.0	12.627122767748528
