#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	3.4983382893125764E-4
24.0	3.4983382893125764E-4
25.0	1.7491691446562882E-4
26.0	0.001049501486793773
27.0	6.996676578625153E-4
28.0	0.0019240860591219172
29.0	0.0022739198880531745
30.0	0.003323421374846948
31.0	0.003323421374846948
32.0	0.003323421374846948
33.0	0.004897673605037608
34.0	0.005422424348434494
35.0	0.005597341262900123
36.0	0.009445513381143958
37.0	0.01206926709812839
38.0	0.013118768584922164
39.0	0.01521777155850971
40.0	0.01381843624278468
41.0	0.015917439216372224
42.0	0.017841525275494142
43.0	0.019240860591219173
44.0	0.018716109847822286
45.0	0.022214448137134864
46.0	0.02291411579499738
47.0	0.02273919888053175
48.0	0.029386041630225648
49.0	0.027986706314500617
50.0	0.025362952597516183
51.0	0.04163022564281966
52.0	0.032184712261675706
53.0	0.04495364701766661
54.0	0.041455308728354026
55.0	0.03918138884030086
56.0	0.043204477873010315
57.0	0.03690746895224768
58.0	0.037956970439041456
59.0	0.033059296834003854
60.0	0.03323421374846948
61.0	0.03165996151827882
62.0	0.03463354906419451
63.0	0.04320447787301032
64.0	0.04600314850446038
65.0	0.04180514255728529
66.0	0.03865663809690398
67.0	0.02273919888053175
68.0	0.013118768584922164
69.0	0.008396011894350184
70.0	0.003498338289312577
71.0	0.002273919888053175
72.0	0.0012244184012594017
73.0	0.0017491691446562883
74.0	0.0017491691446562883
75.0	8.745845723281442E-4
76.0	0.0017491691446562883
77.0	6.996676578625153E-4
78.0	6.996676578625153E-4
79.0	3.4983382893125764E-4
80.0	5.247507433968864E-4
81.0	6.996676578625153E-4
82.0	1.7491691446562882E-4
83.0	3.4983382893125764E-4
84.0	5.247507433968864E-4
85.0	0.0
86.0	1.7491691446562882E-4
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
