#Transcript position	Transcript coverage profile
0.0	3.733562102405748
1.0	5.860921174853992
2.0	6.145080465268722
3.0	5.30879252620405
4.0	6.302420264784171
5.0	7.42749286371158
6.0	7.262109860812082
7.0	7.717212116793448
8.0	8.40749898469586
9.0	8.067294036961977
10.0	7.54573274222772
11.0	9.032028254775211
12.0	8.293310275024773
13.0	8.69395555829038
14.0	7.5399073631771625
15.0	7.665881389967025
16.0	6.527022697688061
17.0	5.108746176527226
18.0	4.370611211905051
19.0	4.292264156523704
20.0	4.069822074597716
21.0	4.5064558917562145
22.0	5.30001121382698
23.0	5.2684350928662615
24.0	3.123374699196351
25.0	4.306055137973802
26.0	5.1326730862766325
27.0	5.726518242876567
28.0	4.63027643019864
29.0	4.1292172954499575
30.0	4.745529425966525
31.0	5.416839337704843
32.0	5.86925390137917
33.0	5.78818324314748
34.0	5.224825126741261
35.0	3.5146217312222525
36.0	1.8666323232467785
37.0	1.7276929803886398
38.0	2.153666666614382
39.0	4.126631933461653
40.0	6.420097499377025
41.0	5.094825504141371
42.0	2.356954640874362
43.0	1.9856983978233618
44.0	2.0026332251142955
45.0	3.267398148538343
46.0	4.680174151343282
47.0	5.149980972292396
48.0	6.577982145252868
49.0	5.567497863919096
50.0	8.703334941369725
51.0	6.964680406147892
52.0	5.647682938752025
53.0	3.759215680062378
54.0	3.9500679414732733
55.0	4.1889601718634895
56.0	2.2429865342521462
57.0	1.7550418944458999
58.0	2.255633839340482
59.0	2.6482120925143238
60.0	3.1849128954447394
61.0	4.146495418649885
62.0	4.555838046514427
63.0	5.106607597130046
64.0	4.682676577240051
65.0	3.8309034533026605
66.0	3.59036294235746
67.0	3.696209929157297
68.0	3.126019552197092
69.0	3.169070699769268
70.0	3.445300479447198
71.0	3.2959948183455965
72.0	3.039818267496146
73.0	3.2210553981472567
74.0	3.3982440294819374
75.0	3.600086260270183
76.0	3.275069926800616
77.0	3.8471729933043295
78.0	3.030457429955582
79.0	3.107700466661178
80.0	3.3078647928881355
81.0	3.5344521838050564
82.0	3.738155069737582
83.0	4.018216623845826
84.0	3.955068446392636
85.0	4.16183910155219
86.0	4.131887454322797
87.0	4.445509051134653
88.0	4.179423789837317
89.0	3.9138553317913174
90.0	3.681655718650909
91.0	3.9435717110021846
92.0	3.96035565639056
93.0	3.640657237138923
94.0	2.963403400211063
95.0	2.29529440510663
96.0	2.000875205040464
97.0	1.4721228379550435
98.0	0.26466528532748923
99.0	0.1251643941310501
