#Transcript position	Transcript coverage profile
0.0	2.970310840168915
1.0	5.899298757537751
2.0	6.3510457760902765
3.0	6.16443348931651
4.0	7.214778436308734
5.0	7.458433684826551
6.0	6.758073843989914
7.0	6.666946185012321
8.0	7.169200129334429
9.0	6.1797629316563585
10.0	5.510797260128049
11.0	6.382624825158697
12.0	6.346878569157935
13.0	6.861102638605217
14.0	5.073292418067934
15.0	5.388752691913717
16.0	4.122877115264892
17.0	3.355006262100027
18.0	2.475649136422365
19.0	2.3949721049489487
20.0	2.257401256846238
21.0	3.005685914241768
22.0	4.1077409767340916
23.0	3.4129447429641107
24.0	2.456786047324182
25.0	3.2475185532646473
26.0	4.801820881607368
27.0	4.578822954634319
28.0	3.8504107764296673
29.0	3.444319378023543
30.0	4.200129314623423
31.0	4.6309529525226125
32.0	4.219152473560183
33.0	4.743459999802588
34.0	4.870774640421099
35.0	3.411659778518704
36.0	1.6257734509410084
37.0	1.226988586879115
38.0	1.4739770270359547
39.0	2.7873048584100935
40.0	4.443889407434936
41.0	3.7493332884513704
42.0	2.1069043662880813
43.0	2.134506696795158
44.0	1.8837794524220128
45.0	2.2270299172150474
46.0	3.129531649842405
47.0	3.561748184576327
48.0	4.787625653593253
49.0	4.712572958081274
50.0	5.334516888292103
51.0	5.639707507128828
52.0	4.826506561943854
53.0	3.1427896885051676
54.0	3.118895421616532
55.0	3.2041542563813334
56.0	2.133673343581469
57.0	1.688992650582225
58.0	1.7607894777378463
59.0	1.9440688789847964
60.0	2.4821661112698985
61.0	3.1787099262294136
62.0	3.530507366022954
63.0	3.8438682218699745
64.0	4.118033050382733
65.0	3.9716252936372403
66.0	3.7586428875388824
67.0	3.6456397984174327
68.0	3.4042279847402144
69.0	3.381622347197808
70.0	3.795599904562826
71.0	3.8296675604207238
72.0	3.948075134694579
73.0	4.090074581705791
74.0	3.80183213386342
75.0	3.840376894963106
76.0	3.7571550365812847
77.0	4.0990053213266044
78.0	3.1665126563761525
79.0	3.119589775834996
80.0	3.259559787776858
81.0	3.2040629646316976
82.0	3.0969025778599306
83.0	3.0146058349880467
84.0	3.225040787300146
85.0	3.6031389171182067
86.0	3.1027596008499394
87.0	3.0731704211066178
88.0	2.846258577335331
89.0	2.798170964305271
90.0	2.6177406767164078
91.0	2.551480199599737
92.0	2.4730141820867013
93.0	2.391455668268818
94.0	2.130736199897047
95.0	1.796184603428925
96.0	1.5114959782180488
97.0	1.1425423381563626
98.0	0.24007605748259486
99.0	0.18274195462959072
