#Transcript position	Transcript coverage profile
0.0	2.9703108401689153
1.0	5.89929875753775
2.0	6.3510457760902765
3.0	6.16443348931651
4.0	7.214778436308731
5.0	7.4584336848265504
6.0	6.758073843989913
7.0	6.666946185012321
8.0	7.169200129334429
9.0	6.179762931656357
10.0	5.510797260128048
11.0	6.382624825158696
12.0	6.346878569157935
13.0	6.861102638605217
14.0	5.0732924180679335
15.0	5.388752691913717
16.0	4.1228771152648935
17.0	3.355006262100027
18.0	2.4756491364223643
19.0	2.3949721049489487
20.0	2.2574012568462383
21.0	3.005685914241768
22.0	4.1077409767340916
23.0	3.4129447429641107
24.0	2.456786047324182
25.0	3.247518553264648
26.0	4.801820881607368
27.0	4.578822954634319
28.0	3.850410776429667
29.0	3.4443193780235415
30.0	4.200129314623423
31.0	4.630952952522613
32.0	4.219152473560184
33.0	4.743459999802587
34.0	4.870774640421099
35.0	3.411659778518704
36.0	1.6257734509410082
37.0	1.2269885868791157
38.0	1.4739770270359547
39.0	2.787304858410093
40.0	4.443889407434935
41.0	3.7493332884513695
42.0	2.106904366288081
43.0	2.1345066967951567
44.0	1.883779452422013
45.0	2.2270299172150474
46.0	3.1295316498424044
47.0	3.561748184576327
48.0	4.787625653593253
49.0	4.7125729580812745
50.0	5.334516888292104
51.0	5.639707507128829
52.0	4.826506561943855
53.0	3.142789688505167
54.0	3.1188954216165325
55.0	3.2041542563813334
56.0	2.133673343581469
57.0	1.6889926505822248
58.0	1.760789477737846
59.0	1.944068878984796
60.0	2.4821661112698985
61.0	3.1787099262294127
62.0	3.5305073660229533
63.0	3.843868221869976
64.0	4.118033050382733
65.0	3.97162529363724
66.0	3.7586428875388824
67.0	3.6456397984174336
68.0	3.404227984740215
69.0	3.3816223471978075
70.0	3.7955999045628275
71.0	3.8296675604207238
72.0	3.9480751346945797
73.0	4.0900745817057915
74.0	3.80183213386342
75.0	3.8403768949631067
76.0	3.7571550365812834
77.0	4.099005321326605
78.0	3.1665126563761525
79.0	3.119589775834996
80.0	3.259559787776858
81.0	3.2040629646316985
82.0	3.0969025778599306
83.0	3.0146058349880462
84.0	3.225040787300146
85.0	3.6031389171182058
86.0	3.1027596008499394
87.0	3.073170421106617
88.0	2.8462585773353304
89.0	2.7981709643052706
90.0	2.617740676716407
91.0	2.551480199599736
92.0	2.4730141820867004
93.0	2.391455668268818
94.0	2.1307361998970475
95.0	1.7961846034289253
96.0	1.5114959782180493
97.0	1.1425423381563622
98.0	0.24007605748259486
99.0	0.1827419546295907
