#Coverage (X)	Coverage
1.0	0.4020636291904367
2.0	0.28636242629944775
3.0	0.22467590896296485
4.0	0.18942953342593682
5.0	0.1654180253664066
6.0	0.148770384296796
7.0	0.13562145716231555
8.0	0.12446065716646615
9.0	0.11387875301392114
10.0	0.10561438137885659
11.0	0.09922703565996471
12.0	0.0935667207476456
13.0	0.08855157258325619
14.0	0.08390676182703771
15.0	0.07963618676750173
16.0	0.07553908554652367
17.0	0.072233336892495
18.0	0.06966826305482243
19.0	0.06686734276246398
20.0	0.06405082931607353
21.0	0.061655331028461546
22.0	0.05969059362088558
23.0	0.057548484086225926
24.0	0.055661712448781486
25.0	0.05364044985785199
26.0	0.05153147577550499
27.0	0.049681737878884746
28.0	0.04802496526336597
29.0	0.04615573592420219
30.0	0.04454574277076517
31.0	0.04292795304031927
32.0	0.0414173662438202
33.0	0.0400841515743906
34.0	0.03872169974115991
35.0	0.03748984057291693
36.0	0.036316455732276154
37.0	0.03501247822664766
38.0	0.03371824644229093
39.0	0.032564353044193695
40.0	0.031437747665634674
41.0	0.030396904634230282
42.0	0.02936775646836054
43.0	0.028410726639862105
44.0	0.027301663559583744
45.0	0.02632904057705332
46.0	0.025469467961229952
47.0	0.024658623951751224
48.0	0.023816593634222727
49.0	0.02298430903795179
50.0	0.02218126160548195
51.0	0.02140550219256454
