#Transcript position	Transcript coverage profile
0.0	10.960981018556387
1.0	19.125788005603486
2.0	21.02367702544311
3.0	20.56018757238522
4.0	22.731339364652293
5.0	25.169995670265536
6.0	24.214379538358326
7.0	23.531653390430208
8.0	22.589785840010396
9.0	21.672013549990567
10.0	20.09193735357146
11.0	23.293905643690444
12.0	21.505893342138826
13.0	20.42179540417774
14.0	18.044515840694682
15.0	16.262882516342845
16.0	15.293744222549101
17.0	12.682178103326923
18.0	10.107314025006815
19.0	8.981145463785388
20.0	7.1424448881131735
21.0	8.581794126195112
22.0	10.5543353452489
23.0	8.8084311333089
24.0	5.350251598020073
25.0	5.122397319023715
26.0	6.662707691304813
27.0	5.472788398194757
28.0	4.158553545392176
29.0	3.996314290768703
30.0	5.678807752256314
31.0	6.7075881379899425
32.0	6.292168587885485
33.0	6.8878691646668635
34.0	6.858740249730546
35.0	6.159780717658501
36.0	4.60314850789722
37.0	3.9438466344242125
38.0	4.894333552937726
39.0	4.608342603207327
40.0	4.890699587777477
41.0	5.758514641416143
42.0	5.214487172700174
43.0	4.403560341304858
44.0	4.168397515518995
45.0	4.824258503536493
46.0	4.94324171244936
47.0	5.245503241605931
48.0	6.012593090083629
49.0	6.878179311695743
50.0	6.730324356222164
51.0	7.713664717552074
52.0	6.667641843053553
53.0	4.82046702369351
54.0	5.457251568762893
55.0	5.199369067192405
56.0	3.886976013441816
57.0	3.143351141979086
58.0	3.45937712102812
59.0	3.452402795426876
60.0	4.036947898754529
61.0	4.293345739663221
62.0	4.2069199847372625
63.0	4.817288681681467
64.0	5.107040606163804
65.0	4.901378315435927
66.0	5.363791275742133
67.0	5.2974983653533005
68.0	4.717470233278162
69.0	4.810669437798343
70.0	4.967191718466721
71.0	4.940083270648085
72.0	4.95422198986148
73.0	5.626706453794312
74.0	5.545313577219483
75.0	4.944927148877921
76.0	4.000635376108597
77.0	4.717237801712858
78.0	4.234373925398848
79.0	4.346228765101769
80.0	4.589075694215982
81.0	4.017443698132631
82.0	4.104037562320935
83.0	4.39926302769724
84.0	4.7908721790578355
85.0	4.945488355278981
86.0	3.8579881655323844
87.0	3.377247295578973
88.0	3.4838523903271854
89.0	3.5797630722732108
90.0	3.651943983534687
91.0	3.5063269545097864
92.0	3.2886229861531913
93.0	3.062360160827872
94.0	2.632102756870781
95.0	2.156127584844885
96.0	1.5726826560983913
97.0	1.108693997375969
98.0	0.3210594888199704
99.0	0.14802746935081762
