#Transcript position	Transcript coverage profile
0.0	9.49255353155414
1.0	16.881334564012324
2.0	17.606108356338876
3.0	16.633309648742163
4.0	17.79270151286389
5.0	19.75034625085739
6.0	19.758439726985745
7.0	20.141050355916718
8.0	20.41625802025767
9.0	19.769897109045342
10.0	17.9269596931949
11.0	19.90816558161179
12.0	19.008204166690973
13.0	19.216072661631564
14.0	17.71822458497004
15.0	16.590169449051338
16.0	14.422891014351212
17.0	12.626459319447742
18.0	10.746168795689442
19.0	10.682372696939659
20.0	8.93684101595442
21.0	9.361836379382597
22.0	9.959943021010638
23.0	8.89731276631494
24.0	5.74793416769854
25.0	4.809074262962052
26.0	5.368312826512075
27.0	4.971185173631248
28.0	3.5078358516583865
29.0	3.2520182723237236
30.0	5.5439314185078965
31.0	7.641674746388917
32.0	6.927117078806448
33.0	7.9564501017831475
34.0	7.484153373479144
35.0	6.477200768499868
36.0	4.679103292796267
37.0	4.012560588588967
38.0	5.261654168748041
39.0	4.438550515451238
40.0	4.541607880876433
41.0	5.021376869234732
42.0	5.335892671490961
43.0	5.415343247533788
44.0	4.544340232820053
45.0	4.829953659910082
46.0	5.118983910822858
47.0	5.643350513065488
48.0	6.6133564976596775
49.0	6.381426753164426
50.0	6.229115966724526
51.0	6.171342772815183
52.0	5.90361559141714
53.0	4.543110948116886
54.0	5.171545517984559
55.0	5.06916112232587
56.0	3.8257702250366488
57.0	3.6426621292678814
58.0	4.204168022379677
59.0	4.113882567120468
60.0	4.800459308968283
61.0	5.287409866336266
62.0	5.596919170683391
63.0	6.037629493775415
64.0	5.90129527312209
65.0	6.008664545065826
66.0	5.951670036940994
67.0	5.489826548542654
68.0	4.8728315076889706
69.0	4.576991950953758
70.0	4.162637149599239
71.0	4.4170215576419
72.0	4.5838543469729185
73.0	5.0241003276990375
74.0	4.852231013231219
75.0	4.606707232454546
76.0	3.646464968509095
77.0	3.3809608477046007
78.0	2.9256598216450573
79.0	3.264004982109993
80.0	3.4263906927492815
81.0	3.3125989231581903
82.0	3.5521492470055267
83.0	3.62104806771654
84.0	3.795157227071521
85.0	3.9259540804243755
86.0	3.380586850951472
87.0	3.1670381688491487
88.0	3.193475646206088
89.0	3.1372083840827587
90.0	3.3558191724106963
91.0	3.434679470697601
92.0	3.3409968281599274
93.0	3.289798985286773
94.0	2.418175787785265
95.0	2.017342458228795
96.0	1.5343794862594355
97.0	1.2373860029700605
98.0	0.38527043752597884
99.0	0.14070859976267214
