#Position (bp)	mapping quality
4.48275695E7	0.0
4.49558315E7	0.0
4.50840935E7	0.0
4.52123555E7	0.0
4.53406175E7	0.0
4.54688795E7	0.0
4.55971415E7	0.0
4.57254035E7	0.0
4.58536655E7	0.0
4.59819275E7	0.0
4.61101895E7	0.0
4.62384515E7	0.0
4.63667135E7	0.0
4.64949755E7	0.0
4.66232375E7	1.0
4.67514995E7	0.0
4.68797615E7	0.0
4.70080235E7	60.0
4.71362855E7	0.0
4.72645475E7	0.0
4.73928095E7	0.0
4.75210715E7	0.0
4.76493335E7	0.0
4.77775955E7	60.0
4.79058575E7	0.0
4.80341195E7	0.0
4.81623815E7	0.0
4.82906435E7	0.0
4.84189055E7	0.4863481228668942
4.85471675E7	0.0
4.86754295E7	0.0
4.88036915E7	0.0
4.89319535E7	0.0
4.90602155E7	0.0
4.91884775E7	0.0
4.93167395E7	1.0
4.94450015E7	0.0
4.95732635E7	0.0
4.97015255E7	0.0
4.98297875E7	0.0
4.99580495E7	0.0
5.00863115E7	0.0
5.02145735E7	0.0
5.03428355E7	0.0
5.04710975E7	60.0
5.05993595E7	0.0
5.07276215E7	0.0
5.08558835E7	0.0
5.09841455E7	0.0
5.11124075E7	0.0
5.12405525E7	0.0
