#Coverage (X)	Coverage
1.0	0.5621039655612634
2.0	0.38550175046796653
3.0	0.30391641944693504
4.0	0.260000250270096
5.0	0.23133223658881263
6.0	0.2132383304830654
7.0	0.19685772217619046
8.0	0.18267769773157738
9.0	0.1716182532369146
10.0	0.1620752429715111
11.0	0.15359841461280155
12.0	0.1462131070360897
13.0	0.1401922004368572
14.0	0.13434671682044552
15.0	0.12899046841167205
16.0	0.12400065912257219
17.0	0.11965211829289046
18.0	0.1151242561918906
19.0	0.11108173101001739
20.0	0.10710352758850661
21.0	0.10331634030384862
22.0	0.09977864348364562
23.0	0.09632865815486014
24.0	0.09300926549106237
25.0	0.08967038138472105
26.0	0.08676030901416709
27.0	0.08398277845284952
28.0	0.08130465424846989
29.0	0.07874152955504599
30.0	0.07636942099847488
31.0	0.07404799019249708
32.0	0.07200723615902405
33.0	0.07011656623308227
34.0	0.06824343860542115
35.0	0.0664521750364031
36.0	0.06461608114955197
37.0	0.06275075009889974
38.0	0.060786012691323776
39.0	0.05887585132283846
40.0	0.05724441758260923
41.0	0.05577086452692015
42.0	0.054435700713241886
43.0	0.05305375743746765
44.0	0.05177122051863137
45.0	0.050656310005592786
46.0	0.04938741709652561
47.0	0.04819648995760417
48.0	0.046984122231890524
49.0	0.045791245948720416
50.0	0.044658793137401176
51.0	0.043582865509435464
