#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	1.7412502176562773E-4
23.0	0.0
24.0	3.4825004353125546E-4
25.0	3.4825004353125546E-4
26.0	8.706251088281386E-4
27.0	0.001915375239421905
28.0	0.0027860003482500437
29.0	0.0017412502176562773
30.0	0.004701375587671948
31.0	0.003134250391781299
32.0	0.005920250740031344
33.0	0.006268500783562598
34.0	0.007139125892390737
35.0	0.008358001044750131
36.0	0.010099251262406407
37.0	0.011840501480062686
38.0	0.012711126588890825
39.0	0.01601950200243775
40.0	0.013930001741250218
41.0	0.014278251784781471
42.0	0.013407626675953336
43.0	0.016367752045969006
44.0	0.018457252307156537
45.0	0.021591502698937837
46.0	0.024203378025422252
47.0	0.021765627720703465
48.0	0.024899878112484765
49.0	0.024899878112484765
50.0	0.023506877938359743
51.0	0.03604387950548494
52.0	0.02994950374368797
53.0	0.03604387950548494
54.0	0.037436879679609965
55.0	0.036566254570781824
56.0	0.0351732543966568
57.0	0.032039004004875506
58.0	0.032387254048406755
59.0	0.03221312902664113
60.0	0.028208253526031693
61.0	0.029949503743687968
62.0	0.03482500435312554
63.0	0.04805850600731324
64.0	0.054501131812641476
65.0	0.06564513320564165
66.0	0.05014800626850078
67.0	0.027860003482500437
68.0	0.013581751697718964
69.0	0.007835625979453248
70.0	0.0022636252829531605
71.0	0.0027860003482500437
72.0	0.001915375239421905
73.0	0.002611875326484416
74.0	0.0020895002611875328
75.0	0.0020895002611875328
76.0	0.0010447501305937664
77.0	8.706251088281386E-4
78.0	1.7412502176562773E-4
79.0	0.0013930001741250218
80.0	3.4825004353125546E-4
81.0	6.965000870625109E-4
82.0	3.4825004353125546E-4
83.0	5.223750652968832E-4
84.0	3.4825004353125546E-4
85.0	1.7412502176562773E-4
86.0	1.7412502176562773E-4
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
