#Transcript position	Transcript coverage profile
0.0	3.256794069083318
1.0	2.8163602616629
2.0	3.0662802002793232
3.0	3.1520661013518736
4.0	3.011365907731192
5.0	2.3141976831504194
6.0	2.0004723546383896
7.0	2.1681642043288467
8.0	2.3794966834264746
9.0	2.4301289320571957
10.0	2.4173878022012003
11.0	2.3411732992811203
12.0	2.244372603299706
13.0	2.3209063214224246
14.0	2.1962208536683505
15.0	2.353126489592836
16.0	2.1030930074252048
17.0	2.5500041989904303
18.0	2.0079107644059424
19.0	2.0061440797487156
20.0	1.7873291670056004
21.0	2.1333664630514746
22.0	2.22885892827659
23.0	1.7889338060659081
24.0	1.3515341919794064
25.0	1.7060521567714233
26.0	2.1089821467585304
27.0	1.9790735739881158
28.0	1.6659989644365354
29.0	1.4965075842209323
30.0	2.1439814958458774
31.0	2.382371395140227
32.0	2.514339172154053
33.0	2.9059864672621494
34.0	4.056093075838304
35.0	4.431923567991708
36.0	3.7017759696431827
37.0	2.3441501074255346
38.0	2.7554605306845
39.0	2.3455662314959436
40.0	1.867678495825666
41.0	2.1726096626309896
42.0	2.2897744510052367
43.0	2.257252557057163
44.0	1.9311887534141168
45.0	1.801552525943961
46.0	1.72674712792004
47.0	1.7600226165417046
48.0	1.9609323196227377
49.0	2.339516107991181
50.0	2.736606696827574
51.0	2.9358207668656213
52.0	2.945144397494519
53.0	2.636393879335178
54.0	2.3613436251311106
55.0	2.5794028348976568
56.0	2.340020554606462
57.0	2.100436623518608
58.0	2.291689476389317
59.0	2.261682296092884
60.0	2.407377911991248
61.0	2.615178334080851
62.0	2.6435429209805332
63.0	2.7095576824742755
64.0	2.4273357935758284
65.0	2.3870772744384636
66.0	2.2764204800879244
67.0	2.227068545252428
68.0	1.792993992458843
69.0	1.9738809462748321
70.0	2.128689160201409
71.0	2.058016122843199
72.0	2.1401188724582827
73.0	2.1598899887129646
74.0	2.0062279675901564
75.0	1.9315303924607623
76.0	1.8408355590624976
77.0	2.0540317233595955
78.0	2.30495107975006
79.0	2.574168124587543
80.0	2.7741116583519103
81.0	2.9767217967339703
82.0	3.1103777198690112
83.0	3.445838235937469
84.0	3.8962624591668757
85.0	4.47075648745024
86.0	4.587173292498546
87.0	4.686347066577176
88.0	4.642074266321979
89.0	4.3046227032073645
90.0	3.9573509621742176
91.0	4.146370085309493
92.0	4.005862308631547
93.0	3.915574078876386
94.0	3.2843033231885332
95.0	2.9089455774465764
96.0	2.38394834367097
97.0	1.6498440128875875
98.0	0.3692354638260897
99.0	0.15467889802526458
