#Read position (bp)	Clipping profile
0.0	22.117434804001967
1.0	12.465146793505003
2.0	9.029030670821715
3.0	7.003444316877153
4.0	5.182876824667869
5.0	4.412005904543218
6.0	3.542725930785632
7.0	2.8292602919468592
8.0	2.009184845005741
9.0	1.0824995899622765
10.0	0.9512875184516976
11.0	0.7216663933081844
12.0	0.5330490405117271
13.0	0.31982942430703626
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.008200754469411185
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.01640150893882237
60.0	0.01640150893882237
61.0	0.0
62.0	0.0
63.0	0.008200754469411185
64.0	0.008200754469411185
65.0	0.049204526816467115
66.0	0.0574052812858783
67.0	0.06560603575528948
68.0	0.08200754469411187
69.0	0.32803017877644747
70.0	0.46744300475643763
71.0	1.0660980810234542
72.0	1.8697720190257505
73.0	2.7062489749056913
74.0	6.199770378874857
75.0	14.85156634410366
