#Coverage (X)	Coverage
1.0	0.4262447128000275
2.0	0.298757034607803
3.0	0.23961804881071203
4.0	0.20879817987351146
5.0	0.18768504931901475
6.0	0.1715480840438346
7.0	0.15677357060189934
8.0	0.1455211608261351
9.0	0.135340780389825
10.0	0.12689903662767676
11.0	0.11970279604355483
12.0	0.11398790509213086
13.0	0.10833538675682064
14.0	0.10329489971712746
15.0	0.0986715295477012
16.0	0.09407739654207603
17.0	0.09002902392744261
18.0	0.08593192270646455
19.0	0.08185821121654158
20.0	0.07847644593663006
21.0	0.07534417112117353
22.0	0.07264850461851324
23.0	0.07004834618426514
24.0	0.06751056036613079
25.0	0.06530217992686005
26.0	0.06328676476869077
27.0	0.06122067185992819
28.0	0.05939822198286038
29.0	0.057556280663249026
30.0	0.055784508536774524
31.0	0.054252481153483245
32.0	0.05293096134957409
33.0	0.05176147479744486
34.0	0.05060368311083607
35.0	0.049443942279964403
36.0	0.04833293005543737
37.0	0.04732717162060851
38.0	0.04617717651100861
39.0	0.04509150316178534
40.0	0.044167608785599555
41.0	0.043212528101364
42.0	0.042335413187259974
43.0	0.04149338286973148
44.0	0.04066109827346054
45.0	0.03980347480190005
46.0	0.03901017309070198
47.0	0.03827534570710611
48.0	0.03748984057291693
49.0	0.03657374277374004
50.0	0.03581552565910329
51.0	0.03493841074499926
